artist,album,score,reviewer,url
Johnny Marr,The Messenger,6.3,Steven Hyden,http://pitchfork.com/reviews/albums/17643-johnny-marr-the-messenger/
"Bonnie Prince"" Billy""",What the Brothers Sang,7,Stephen M. Deusner,http://pitchfork.com/reviews/albums/17797-bonnie-prince-billy-dawn-mccarthy-what-the-brothers-sang/
Pusha T,Wrath of Caine,7.2,Craig Jenkins,http://pitchfork.com/reviews/albums/17758-pusha-t-wrath-of-caine/
Eat Skull,III,7.4,Steven Hyden,http://pitchfork.com/reviews/albums/17662-eat-skull-iii/
Feeding People,Island Universe,5.9,Harley Brown,http://pitchfork.com/reviews/albums/17759-feeding-people-island-universe/
Autechre,Exai,5.9,Grayson Currin,http://pitchfork.com/reviews/albums/17691-autechre-exai/
Mark Kozelek,Like Rats,6.7,Stephen Deusner,http://pitchfork.com/reviews/albums/17626-mark-kozelek-live-at-phoenix-public-house-melbournelike-rats/
Inc.,no world,7,Eric Harvey,http://pitchfork.com/reviews/albums/17625-teen-inc-no-world/
Psychic Ills,One Track Mind,6,Zach Kelly,http://pitchfork.com/reviews/albums/17661-psychic-ills-one-track-mind/
Dur-Dur Band,Vol. 5,7.7,Joe Tangari,http://pitchfork.com/reviews/albums/17612-dur-dur-band-vol-5/
Iceage,You're Nothing,8.6,Brandon Stosuy,http://pitchfork.com/reviews/albums/17623-iceage-youre-nothing/
Beach Fossils,Clash the Truth,5.8,Ian Cohen,http://pitchfork.com/reviews/albums/17621-beach-fossils-clash-the-truth/
Moon B,Moon B,7.5,Andrew Ryce,http://pitchfork.com/reviews/albums/17757-moon-b-moon-b/
Endless Boogie,Long Island,6.6,Zach Kelly,http://pitchfork.com/reviews/albums/17663-endless-boogie-long-island/
STRFKR,Miracle Mile,5.2,Steven Hyden,http://pitchfork.com/reviews/albums/17712-starfucker-miracle-mile/
Nick Cave & the Bad Seeds,Push The Sky Away,8,Stuart Berman,http://pitchfork.com/reviews/albums/17618-push-the-sky-away/
Screaming Females,Chalk Tape,7.9,Steven Hyden,http://pitchfork.com/reviews/albums/17711-screaming-females-chalk-tape/
Qluster,Lauschen,6.5,Brian Howe,http://pitchfork.com/reviews/albums/17719-qluster-lauschen/
Companion,Companion,6.5,Jayson Greene,http://pitchfork.com/reviews/albums/17751-companion-companion/
Darwin Deez,Songs for Imaginative People,5,Laura Snapes,http://pitchfork.com/reviews/albums/17722-songs-for-imaginative-people/
Flume,Lockjaw EP,7,Harley Brown,http://pitchfork.com/reviews/albums/18798-flume-chet-faker-lockjaw-ep/
Emily Jane White,Blood/Lines,6.6,Stephen M. Deusner,http://pitchfork.com/reviews/albums/18797-emily-jane-white-bloodlines/
Mike Donovan,Wot,6.4,Evan Minsker,http://pitchfork.com/reviews/albums/18659-mike-donovan-wot/
Capsule,CAPS LOCK,6.1,Patrick St. Michel,http://pitchfork.com/reviews/albums/18654-capsule-caps-lock/
Nick Cave & the Bad Seeds,Live from KCRW,7.8,Stuart Berman,http://pitchfork.com/reviews/albums/18760-nick-cave-the-bad-seeds-live-from-kcrw/
Phill Niblock,Touch Five,7.4,Marc Masters,http://pitchfork.com/reviews/albums/18767-phill-niblock-nothin-to-look-at-just-a-record/
Kevin Morby,Harlem River,7,Jeremy Gordon,http://pitchfork.com/reviews/albums/18796-kevin-morby-harlem-river/
Guido,Moods of Future Joy,6.3,Gabriel Szatan,http://pitchfork.com/reviews/albums/18795-guido-moods-of-future-joy/
Perera Elsewhere,Everlast,7.8,Andrew Ryce,http://pitchfork.com/reviews/albums/18618-perera-elsewhere-everlast/
Le1f,Fly Zone,7.8,Miles Raymer,http://pitchfork.com/reviews/albums/17682-fly-zone/
Hayden,Us Alone,5.7,Stephen M. Deusner,http://pitchfork.com/reviews/albums/17613-us-alone/
xxxy,Got Me So EP,6.7,Andrew Gaerig,http://pitchfork.com/reviews/albums/17615-got-me-so-ep/
Frightened Rabbit,Pedestrian Verse,7.6,Rachael Maddux,http://pitchfork.com/reviews/albums/17574-pedestrian-verse/
Bryan Ferry,The Jazz Age,7.4,Ned Raggett,http://pitchfork.com/reviews/albums/17383-the-jazz-age/
Cakes Da Killa,The Eulogy,7.5,Miles Raymer,http://pitchfork.com/reviews/albums/17684-the-eulogy/
Jacco Gardner,Cabinet of Curiosities,7.2,Evan Minsker,http://pitchfork.com/reviews/albums/17715-cabinet-of-curiosities/
Little Wings,LAST,6.9,Sam Hockley-Smith,http://pitchfork.com/reviews/albums/17677-last/
My Bloody Valentine,mbv,9.1,Mark Richardson,http://pitchfork.com/reviews/albums/17726-mbv/
Night Beds,Country Sleep,7.7,Ian Cohen,http://pitchfork.com/reviews/albums/17656-country-sleep/
Wraetlic,Wraetlic,6.1,Andrew Gaerig,http://pitchfork.com/reviews/albums/17653-wraetlic/
Renny Wilson,Sugarglider,6.2,Zach Kelly,http://pitchfork.com/reviews/albums/17703-sugarglider/
Unknown Mortal Orchestra,II,7.3,Ian Cohen,http://pitchfork.com/reviews/albums/17570-ii/
Actress,Silver Cloud EP,7.7,Andrew Ryce,http://pitchfork.com/reviews/albums/17707-silver-cloud-ep/
The History of Apple Pie,Out of View,6.7,Steven Hyden,http://pitchfork.com/reviews/albums/17569-out-of-view/
Chris Darrow,Artist Proof,8.2,Miles Raymer,http://pitchfork.com/reviews/albums/17592-artist-proof/
Sonny Smith,100 Records Vol. 3,7.4,Evan Minsker,http://pitchfork.com/reviews/albums/17620-100-records-vol-3/
Andrew Bird,I Want to See Pulaski at Night,6.5,Stephen M. Deusner,http://pitchfork.com/reviews/albums/18753-andrew-bird-i-want-to-see-pulaski-at-night/
The Stranger,Watching Dead Empires in Decay,7.6,Nick Neyland,http://pitchfork.com/reviews/albums/18686-the-stranger-watching-dead-empires-in-decay/
Minor Alps,Get There,4.9,Joel Oliphint,http://pitchfork.com/reviews/albums/18690-minor-alps-get-there/
Skeletonwitch,Serpents Unleashed,7.5,Grayson Currin,http://pitchfork.com/reviews/albums/18617-skeletonwitch-serpents-unleashed/
Kurt Vile,Jamaica Plain EP,5.4,Jayson Greene,http://pitchfork.com/reviews/albums/18754-kurt-vile-sore-eros-kurt-vile-and-the-violators-jamaica-plain-ep-its-a-big-world-out-there-and-i-am-scared/
Magik Markers,Surrender to the Fantasy,7.9,Jeremy D. Larson,http://pitchfork.com/reviews/albums/18700-magik-markers-surrender-to-the-fantasy/
Fis,Preparations EP,7.7,Angus Finlayson,http://pitchfork.com/reviews/albums/18734-fis-preparations-ep/
Future of the Left,How to Stop Your Brain in an Accident,7.4,Jake Cleland,http://pitchfork.com/reviews/albums/18683-future-of-the-left-how-to-stop-your-brain-in-an-accident/
John Talabot,DJ-Kicks,7.9,Larry Fitzmaurice,http://pitchfork.com/reviews/albums/18749-john-talabot-dj-kicks/
Throwing Muses,Purgatory/Paradise,8,Katherine St. Asaph,http://pitchfork.com/reviews/albums/18660-throwing-muses-purgatoryparadise/
Wooden Shjips,Back to Land,6.5,Stuart Berman,http://pitchfork.com/reviews/albums/18720-wooden-shjips-back-to-land/
Cate Le Bon,Mug Museum,7.3,Jeremy D. Larson,http://pitchfork.com/reviews/albums/18716-cate-le-bon-mug-museum/
Whores,Clean,6.4,Andy O'Connor,http://pitchfork.com/reviews/albums/18687-whores-clean/
The Beatles,On Air - Live at the BBC Vol. 2,7.2,Stuart Berman,http://pitchfork.com/reviews/albums/18752-the-beatles-on-air-live-at-the-bbc-vol-2/
Yamantaka // Sonic Titan,UZU,7.8,Joe Tangari,http://pitchfork.com/reviews/albums/18771-yamantaka-sonic-titan-uzu/
Brad Laner,Nearest Suns,6.3,Miles Raymer,http://pitchfork.com/reviews/albums/18723-brad-laner-nearest-suns/
Boogarins,As Plantas Que Curam,7.1,Jayson Greene,http://pitchfork.com/reviews/albums/18652-boogarins-as-plantas-que-curam/
Jim James,Regions of Light and Sound of God,7.8,Eric Harvey,http://pitchfork.com/reviews/albums/17523-regions-of-light-and-sound-of-god/
Thao & the Get Down Stay Down,We the Common,7.5,Lindsay Zoladz,http://pitchfork.com/reviews/albums/17577-we-the-common/
Tomahawk,Oddfellows,6.8,Paul Thompson,http://pitchfork.com/reviews/albums/17602-oddfellows/
Guards,In Guards We Trust,5.9,Ian Cohen,http://pitchfork.com/reviews/albums/17611-in-guards-we-trust/
Lightning Swords of Death,Baphometic Chaosium,7.8,Kim Kelly,http://pitchfork.com/reviews/albums/17606-baphometic-chaosium/
Grouper,The Man Who Died in His Boat,8.3,Mark Richardson,http://pitchfork.com/reviews/albums/17571-the-man-who-died-in-his-boat-dragging-a-dead-deer-up-a-hill/
Four Tet,181,7.3,Puja Patel,http://pitchfork.com/reviews/albums/17681-0181/
Amateur Best,No Thrills,7.5,Ruth Saxelby,http://pitchfork.com/reviews/albums/17636-no-thrills/
Vado,Slime Flu 3,7,Mike Madden,http://pitchfork.com/reviews/albums/17694-slime-flu-3/
La Big Vic,Cold War,7.4,Zach Kelly,http://pitchfork.com/reviews/albums/17562-cold-war/
Miles Davis,"The Bootleg Series, Volume 2: Live in Europe 1969",9,Hank Shteamer,http://pitchfork.com/reviews/albums/17676-the-bootleg-series-volume-2-live-in-europe-1969/
Amor De Días,The House at Sea,6.8,Ian Cohen,http://pitchfork.com/reviews/albums/17567-the-house-at-sea/
Indians,Somewhere Else,7.6,Ian Cohen,http://pitchfork.com/reviews/albums/17568-somewhere-else/
Latyrx,The Second Album,4.8,Nate Patrin,http://pitchfork.com/reviews/albums/18697-latyrx-the-second-album/
Death Cab for Cutie,Transatlanticism,8.4,Ian Cohen,http://pitchfork.com/reviews/albums/18656-death-cab-for-cutie-transatlanticism/
Yvette,Process,8.1,Stuart Berman,http://pitchfork.com/reviews/albums/18711-yvette-process/
Boldy James,My 1st Chemistry Set,7.4,Jayson Greene,http://pitchfork.com/reviews/albums/18647-boldy-james-the-alchemist-my-1st-chemistry-set/
Wooden Wand & The World War IV,Wooden Wand & The World War IV,7.2,Marc Masters,http://pitchfork.com/reviews/albums/18741-wooden-wand-the-world-war-iv-wooden-wand-the-world-war-iv/
M.I.A.,Matangi,6.5,Lindsay Zoladz,http://pitchfork.com/reviews/albums/18701-mia-matangi/
MellowHigh,MellowHigh,6.8,Kyle Kramer,http://pitchfork.com/reviews/albums/18708-mellowhigh-mellowhigh/
James Ferraro,"NYC, Hell 3:00 AM",6.6,Miles Raymer,http://pitchfork.com/reviews/albums/18709-james-ferraro-nyc-hell-300-am/
Widowspeak,The Swamps EP,7.4,Harley Brown,http://pitchfork.com/reviews/albums/18688-widowspeak-the-swamps/
Sapphire Slows,Allegoria,7,Patrick St. Michel,http://pitchfork.com/reviews/albums/18657-sapphire-slows-allegoria/
Cut Copy,Free Your Mind,6.4,Ian Cohen,http://pitchfork.com/reviews/albums/18689-cut-copy-free-your-mind/
The Beta Band,The Regal Years: 1997-2004,8.4,Stuart Berman,http://pitchfork.com/reviews/albums/18603-the-beta-band-the-regal-years-1997-2004/
Swearin',Surfing Strange,7.6,Devon Maloney,http://pitchfork.com/reviews/albums/18589-swearin-surfing-strange/
Doley Bernays,Just In Case,7,Jayson Greene,http://pitchfork.com/reviews/albums/18653-doley-bernays-just-in-case/
Midlake,Antiphon,6,Ian Cohen,http://pitchfork.com/reviews/albums/18696-midlake-antiphon/
Nas,Illmatic,10,Jeff Weiss,http://pitchfork.com/reviews/albums/17497-illmatic/
The Ruby Suns,Christopher,5.8,Ian Cohen,http://pitchfork.com/reviews/albums/17517-christopher/
Dawn Richard,Goldenheart,7.3,Andrew Ryce,http://pitchfork.com/reviews/albums/17619-goldenheart/
Spaceghostpurrp,B.M.W. EP,5.4,Corban Goble,http://pitchfork.com/reviews/albums/17539-bmw-ep/
Ben UFO,Fabriclive 67,7.8,Puja Patel,http://pitchfork.com/reviews/albums/17553-fabriclive-67/
Foxygen,We Are the 21st Century Ambassadors of Peace & Magic,8.4,Jayson Greene,http://pitchfork.com/reviews/albums/17552-we-are-the-21st-century-ambassadors-of-peace-magic/
Califone,Sometimes Good Weather Follows Bad People,8,Mark Richardson,http://pitchfork.com/reviews/albums/17330-sometimes-good-weather-follows-bad-people/
Ex Cops,True Hallucinations,7.8,Stuart Berman,http://pitchfork.com/reviews/albums/17502-true-hallucinations/
Bleeding Rainbow,Yeah Right,6,Steven Hyden,http://pitchfork.com/reviews/albums/17593-yeah-right/
Esben and the Witch,Wash the Sins Not Only the Face,5.8,Harley Brown,http://pitchfork.com/reviews/albums/17535-wash-the-sins-not-only-the-face/
Toro Y Moi,Anything In Return,7.9,Ian Cohen,http://pitchfork.com/reviews/albums/17516-anything-in-return/
Mountains,Centralia,8.1,Nick Neyland,http://pitchfork.com/reviews/albums/17560-centralia/
Ra Ra Riot,Beta Love,5.2,Harley Brown,http://pitchfork.com/reviews/albums/17513-beta-love/
Nightlands,Oak Island,7.7,Ian Cohen,http://pitchfork.com/reviews/albums/17512-oak-island/
Mike Shiflet,"The Choir, the Army",7.8,Marc Masters,http://pitchfork.com/reviews/albums/17638-the-choir-the-army/
SBTRKT,Live,5.5,Nate Patrin,http://pitchfork.com/reviews/albums/17585-live/
The Traditional Fools,The Traditional Fools,7.9,Evan Minsker,http://pitchfork.com/reviews/albums/17534-the-traditional-fools-reverse-shark-attack/
Wale,Folarin,6.9,Corban Goble,http://pitchfork.com/reviews/albums/17586-folarin/
Hilly Eye,Reasons to Live,6.1,Steven Hyden,http://pitchfork.com/reviews/albums/17536-reasons-to-live/
Alasdair Roberts & Friends,A Wonder Working Stone,7.2,Matthew Murphy,http://pitchfork.com/reviews/albums/17554-a-wonder-working-stone/
The Range,Nonfiction,8.2,Mike Powell,http://pitchfork.com/reviews/albums/18679-the-range-nonfiction/
Active Child,Rapor EP,5.6,Ian Cohen,http://pitchfork.com/reviews/albums/18673-active-child-rapor-ep/
Circuit Des Yeux,Overdue,7.2,Marc Masters,http://pitchfork.com/reviews/albums/18684-circuit-des-yeux-overdue/
Yancey Boys,Sunset Blvd.,7.3,Jonah Bromwich,http://pitchfork.com/reviews/albums/18685-yancey-boys-sunset-blvd/
Miracle,Mercury,6.7,Andrew Ryce,http://pitchfork.com/reviews/albums/18724-miracle-mercury/
The Flaming Lips,Peace Sword EP,7.3,Stuart Berman,http://pitchfork.com/reviews/albums/18677-the-flaming-lips-peace-sword-ep/
Laurel Halo,Chance of Rain,7.4,Andrew Gaerig,http://pitchfork.com/reviews/albums/18678-laurel-halo-chance-of-rain/
Matt Kivel,Double Exposure,8,Jayson Greene,http://pitchfork.com/reviews/albums/18651-matt-kivel-double-exposure/
Black Devil Disco Club,Black Moon White Sun,4.6,Nate Patrin,http://pitchfork.com/reviews/albums/18616-black-devil-disco-club-black-moon-white-sun/
Oozing Wound,Retrash,7.4,Andy O'Connor,http://pitchfork.com/reviews/albums/18644-oozing-wound-retrash/
Los Campesinos!,No Blues,8,Ian Cohen,http://pitchfork.com/reviews/albums/18676-los-campesinos-no-blues/
Son Lux,Lanterns,6.6,Jeremy D. Larson,http://pitchfork.com/reviews/albums/18639-son-lux-lanterns/
Upset,She's Gone,7.2,Devon Maloney,http://pitchfork.com/reviews/albums/18625-upset-shes-gone/
Gnaw,Horrible Chamber,7.4,Grayson Currin,http://pitchfork.com/reviews/albums/18613-gnaw-horrible-chamber/
Autechre,L-event EP,6.4,Nick Neyland,http://pitchfork.com/reviews/albums/18672-autechre-l-event-ep/
Tall Firs,Out of It and Into It,6.4,Aaron Leitko,http://pitchfork.com/reviews/albums/17418-out-of-it-and-into-it/
Holopaw,"Academy Songs, Volume I",5.8,Stephen M. Deusner,http://pitchfork.com/reviews/albums/17500-academy-songs-volume-i/
L. Pierre,The Island Come True,7.1,Zach Kelly,http://pitchfork.com/reviews/albums/17520-the-island-come-true/
Jawbreaker,Bivouac,8.8,Brandon Stosuy,http://pitchfork.com/reviews/albums/17437-bivouac/
Pantha Du Prince & The Bell Laboratory,Elements of Light,7,Nick Neyland,http://pitchfork.com/reviews/albums/17511-elements-of-light/
Pro Era,PEEP: The aPROcalypse,6.9,Ian Cohen,http://pitchfork.com/reviews/albums/17521-peep-the-aprocalypse/
Heathered Pearls,Loyal,6.5,Harley Brown,http://pitchfork.com/reviews/albums/17478-loyal/
Kowloon Walled City,Container Ships,6.4,Andy O'Connor,http://pitchfork.com/reviews/albums/17425-container-ships/
T.I.,Trouble Man: Heavy Is the Head,5,Ian Cohen,http://pitchfork.com/reviews/albums/17525-trouble-man-heavy-is-the-head/
Wooden Wand,Blood Oaths of the New Blues,7.9,Grayson Currin,http://pitchfork.com/reviews/albums/17489-blood-oaths-of-the-new-blues/
Mats Gustafsson,Stones,4.4,Brian Howe,http://pitchfork.com/reviews/albums/17490-stones/
Tall Ships,Everything Touching,6,Laura Snapes,http://pitchfork.com/reviews/albums/17432-everything-touching/
Best Coast,Fade Away,7.4,Carrie Battan,http://pitchfork.com/reviews/albums/18623-best-coast-fade-away/
Motörhead,Aftershock,7.6,Hank Shteamer,http://pitchfork.com/reviews/albums/18643-motorhead-aftershock/
Dead Gaze,Brain Holiday,7.1,Jeremy Gordon,http://pitchfork.com/reviews/albums/18624-dead-gaze-brain-holiday/
CFCF,Outside,6.7,Zach Kelly,http://pitchfork.com/reviews/albums/18663-cfcf-outside/
SubRosa,More Constant Than the Gods,8.3,Grayson Currin,http://pitchfork.com/reviews/albums/18395-subrosa-more-constant-than-the-gods/
Kelela,Cut 4 Me,8.3,Miles Raymer,http://pitchfork.com/reviews/albums/18661-kelela-cut-4-me/
Cass McCombs,Big Wheel and Others,7.9,Eric Harvey,http://pitchfork.com/reviews/albums/18612-cass-mccombs-big-wheel-and-others/
Pelican,Forever Becoming,7.2,Colin St. John,http://pitchfork.com/reviews/albums/18662-pelican-forever-becoming/
Schneider TM,Guitar Sounds,6.4,Nick Neyland,http://pitchfork.com/reviews/albums/18522-schneider-tm-guitar-sounds/
Deco,Timescales,7.3,Nate Patrin,http://pitchfork.com/reviews/albums/18628-deco-timescales/
Four Tet,Beautiful Rewind,7.4,Andrew Gaerig,http://pitchfork.com/reviews/albums/18649-four-tet-beautiful-rewind/
"Bonnie Prince"" Billy""","Bonnie Prince"" Billy""",7.8,Marc Masters,http://pitchfork.com/reviews/albums/18650-bonnie-prince-billy-bonnie-prince-billy/
Courtney Barnett,The Double EP: A Sea of Split Peas,7.8,Lindsay Zoladz,http://pitchfork.com/reviews/albums/18641-courtney-barrett-the-double-lp-a-sea-of-split-peas/
School of Night,School of Night EP,5.5,Ian Cohen,http://pitchfork.com/reviews/albums/18642-school-of-night-school-of-night-ep/
Cave,Threace,7.3,Aaron Leitko,http://pitchfork.com/reviews/albums/18631-cave-threace/
The Dismemberment Plan,Uncanney Valley,4.5,Paul Thompson,http://pitchfork.com/reviews/albums/18637-the-dismemberment-plan-uncanney-valley/
Paul McCartney,New,7.8,Miles Raymer,http://pitchfork.com/reviews/albums/18634-paul-mccartney-new/
Crystal Antlers,Nothing Is Real,7.1,Jeremy D. Larson,http://pitchfork.com/reviews/albums/18646-crystal-antlers-nothing-is-real/
Summer Camp,Summer Camp,4.8,Zach Kelly,http://pitchfork.com/reviews/albums/18469-summer-camp-summer-camp/
Leverage Models,Leverage Models,8.2,Grayson Currin,http://pitchfork.com/reviews/albums/18604-leverage-models-leverage-models/
The Heartbreakers,L.A.M.F.: Definitive Edition,8.4,Evan Minsker,http://pitchfork.com/reviews/albums/17326-johnny-thunders-the-heartbreakers-lamf-the-lost-77-mixes-special-edition/
Roy Montgomery,Music from the Film Hey Badfinger,6.2,Marc Masters,http://pitchfork.com/reviews/albums/17424-music-from-the-film-hey-badfinger/
Billow Observatory,Billow Observatory,6,Brian Howe,http://pitchfork.com/reviews/albums/17461-billow-observatory/
Three Legged Race,Persuasive Barrier,7.6,Marc Masters,http://pitchfork.com/reviews/albums/17485-persuasive-barrier/
Burial,Truant / Rough Sleeper,8.4,Mark Richardson,http://pitchfork.com/reviews/albums/17498-truant-rough-sleeper/
Florian Hecker,Chimerization,7.8,Grayson Currin,http://pitchfork.com/reviews/albums/17468-chimerization/
Secret Circuit,Tropical Psychedelics,7.6,Andy Beta,http://pitchfork.com/reviews/albums/17442-tropical-psychedelics/
Larry Gus,Silent Congas,5.8,Mike Powell,http://pitchfork.com/reviews/albums/17472-silent-congas/
Broadcast,Berberian Sound Studio: Original Motion Picture Soundtrack,7.4,Nick Neyland,http://pitchfork.com/reviews/albums/17492-berberian-sound-studio-original-motion-picture-soundtrack/
Herbert,Bodily Functions [Reissue],8.7,Andrew Ryce,http://pitchfork.com/reviews/albums/17491-bodily-functions/
Dawn Richard,Whiteout EP,6.7,Tim Finney,http://pitchfork.com/reviews/albums/17494-white-out-ep/
King L,Drilluminati,6.8,Miles Raymer,http://pitchfork.com/reviews/albums/17503-drilluminati/
Incantation,Vanquish in Vengeance,7.8,Kim Kelly,http://pitchfork.com/reviews/albums/17404-vanquish-in-vengeance/
A$AP Rocky,LongLiveA$AP,8.5,Jayson Greene,http://pitchfork.com/reviews/albums/17505-longliveaap/
Brendan Canning,You Gots 2 Chill,6.7,Jamieson Cox,http://pitchfork.com/reviews/albums/18575-brendan-canning-you-gots-2-chill/
Steve Hauschildt,S/H,7.5,Marc Masters,http://pitchfork.com/reviews/albums/18540-steve-hauschildt-sh/
Yuppies,Yuppies,7.4,Jayson Greene,http://pitchfork.com/reviews/albums/18535-yuppies-yuppies/
Polvo,Siberia,8.3,Stuart Berman,http://pitchfork.com/reviews/albums/18576-polvo-siberia/
RJD2,More Is Than Isn't,7.7,Nate Patrin,http://pitchfork.com/reviews/albums/18596-rjd2-more-is-than-isnt/
Trentemøller,Lost,6.4,Puja Patel,http://pitchfork.com/reviews/albums/18530-trentemller-lost/
Roy Harper,Man and Myth,7,Jason Heller,http://pitchfork.com/reviews/albums/18524-roy-harper-man-and-myth/
Oneohtrix Point Never,R Plus Seven,8.4,Mark Richardson,http://pitchfork.com/reviews/albums/18537-oneohtrix-point-never-r-plus-seven/
Touché Amoré,Is Survived By,8,Ian Cohen,http://pitchfork.com/reviews/albums/18598-touche-amore-is-survived-by/
The Blow,The Blow,7.2,Devon Maloney,http://pitchfork.com/reviews/albums/18585-the-blow-the-blow/
Quasi,Mole City,6,Nick Neyland,http://pitchfork.com/reviews/albums/18573-quasi-mole-city/
Forest Fire,Screens,7.3,Joel Oliphint,http://pitchfork.com/reviews/albums/18554-forest-fire-screens/
Big Boi,Vicious Lies and Dangerous Rumors,6.1,Miles Raymer,http://pitchfork.com/reviews/albums/17294-vicious-lies-and-dangerous-rumors/
Peaking Lights,Lucifer In Dub,6.6,Stuart Berman,http://pitchfork.com/reviews/albums/17429-lucifer-in-dub/
Charles Mingus,The Jazz Workshop Concerts 1964–65,8.4,Hank Shteamer,http://pitchfork.com/reviews/albums/17430-the-jazz-workshop-concerts-196465/
Container,LP,7.4,Andrew Gaerig,http://pitchfork.com/reviews/albums/17481-lp/
Cold Pumas,Persistent Malaise,7.4,Laura Snapes,http://pitchfork.com/reviews/albums/17355-persistent-malaise/
Captain Murphy,Duality,8,Ian Cohen,http://pitchfork.com/reviews/albums/17482-duality/
Jozef Van Wissem & Jim Jarmusch,The Mystery of Heaven,6.4,Nick Neyland,http://pitchfork.com/reviews/albums/17480-the-mystery-of-heaven/
The Rosebuds,Love Deluxe,6,Eric Harvey,http://pitchfork.com/reviews/albums/17464-love-deluxe/
Girls Aloud,Ten,7,Douglas Wolk,http://pitchfork.com/reviews/albums/17467-ten/
Starred,Prison to Prison EP,6.8,Zach Kelly,http://pitchfork.com/reviews/albums/17447-prison-to-prison-ep/
Memory Tapes,Grace/Confusion,6.2,Ian Cohen,http://pitchfork.com/reviews/albums/17393-graceconfusion/
Saint Etienne,Casino Classics,7.2,Marc Hogan,http://pitchfork.com/reviews/albums/17439-casino-classics-lipslide/
Majical Cloudz,Turns Turns Turns EP,7.6,Lindsay Zoladz,http://pitchfork.com/reviews/albums/17451-turns-turns-turns-ep/
Stubborn Heart,Stubborn Heart,5.8,Hari Ashurst,http://pitchfork.com/reviews/albums/17364-stubborn-heart/
Von,Satanic Blood,5,Grayson Currin,http://pitchfork.com/reviews/albums/17435-satanic-blood/
The Smashing Pumpkins,Mellon Collie and the Infinite Sadness,9.3,Ian Cohen,http://pitchfork.com/reviews/albums/17389-mellon-collie-and-the-infinite-sadness/
Sharon Van Etten,Demos,7.1,Laura Snapes,http://pitchfork.com/reviews/albums/17474-tramp-deluxe-edition/
Tiga,Tiga Non Stop,7.3,Andrew Gaerig,http://pitchfork.com/reviews/albums/17359-tiga-non-stop/
Roomful of Teeth,Roomful of Teeth,7,Jayson Greene,http://pitchfork.com/reviews/albums/17413-roomful-of-teeth/
